"name","score","max_score","passed","screenshot_aux_score","screenshot_aux_max","screenshot_count","pdf","pdf_bytes","score_json","screenshot_probe_result","finalized_at","final_sha"
"run-01-cc-opus","74","100","False","9","10","13","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-opus\evidence\score-report.pdf","3968117","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-opus\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-opus\evidence\screenshot-probe\result.json","2026-07-05T09:40:14+00:00","075b9178f3e4dcf8f2bdae478931d80293241032"
"run-01-cc-sonnet","77","100","False","7","10","19","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-sonnet\evidence\score-report.pdf","3967739","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-sonnet\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-cc-sonnet\evidence\screenshot-probe\result.json","2026-07-05T09:40:41+00:00","9efaf3cd81f3ac42894690110a002c605fd383a8"
"run-01-codex","73","100","False","6","10","17","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-codex\evidence\score-report.pdf","3967356","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-codex\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-01-codex\evidence\screenshot-probe\result.json","2026-07-05T09:41:07+00:00","5027154fb0128abad3b78fe1a0232e1fa83dd199"
"run-02-cc-opus","88","100","True","10","10","13","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-opus\evidence\score-report.pdf","3975984","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-opus\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-opus\evidence\screenshot-probe\result.json","2026-07-05T09:41:32+00:00","9554e94d052f7c7ccc82a83abe776e8eb248fe1f"
"run-02-cc-sonnet","82","100","False","10","10","19","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-sonnet\evidence\score-report.pdf","3964258","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-sonnet\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-cc-sonnet\evidence\screenshot-probe\result.json","2026-07-05T09:41:58+00:00","d4850dd760dda952d5e6f67a0ece516765470766"
"run-02-codex","75","100","False","6","10","5","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-codex\evidence\score-report.pdf","5531712","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-codex\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-02-codex\evidence\screenshot-probe\result.json","2026-07-05T09:42:20+00:00","151ae134255a3cf6775967b314507ad5c4a6a561"
"run-03-cc-opus","80","100","False","10","10","19","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-opus\evidence\score-report.pdf","3962489","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-opus\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-opus\evidence\screenshot-probe\result.json","2026-07-05T09:42:46+00:00","7e13eb8593f858a5b1c569c6f735074a10def786"
"run-03-cc-sonnet","59","100","False","6","10","24","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-sonnet\evidence\score-report.pdf","3982049","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-sonnet\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-cc-sonnet\evidence\screenshot-probe\result.json","2026-07-05T09:43:15+00:00","223356ab717271144f929f6fae4d5838ba127c4e"
"run-03-codex","100","100","True","6","10","19","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-codex\evidence\score-report.pdf","3958813","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-codex\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\run-03-codex\evidence\screenshot-probe\result.json","2026-07-05T09:43:41+00:00","5226a3467f38bfa8d997f61314dfd1f26f960bf9"
"rollout-task","13","100","False","1","10","51","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\rollout-task\evidence\score-report.pdf","3546776","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\rollout-task\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\rollout-task\evidence\screenshot-probe\result.json","2026-07-05T09:44:12+00:00","7113e90132b0bda5120550552e3592418f4dd1c7"
"reference-main-complete-run","91","100","True","10","10","5","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\reference-main-complete-run\evidence\score-report.pdf","5521136","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\reference-main-complete-run\evidence\score.json","C:\recent_project\godot-4-3d-third-person-controller-agent-runs-20260703-151656\reference-main-complete-run\evidence\screenshot-probe\result.json","2026-07-05T09:44:36+00:00","b8336f2f0433781f5e46df4216a25397f1d2e7fa"
